CountyName,RecType,"Region",Type,School,Name,Administrator,Mailing Address,Delivery Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID,Website,LastUpdated
,ROE,010000000,00,0000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Hon. Jill S. Reis,507 Vermont St,,Quincy,62301 2920,217277-2080,7-12,099,50,15,1,1700162,http://www.roe1.org,20240420 05:00:03
,Reg Prg,010000000,00,9201,The Lafayette Academy,Mr. Christopher Marshall,409 Hardin Ave Fl 3,,Jacksonville,62650,217243-8438,9-12,099,50,15,A,170016203204,,20240420 05:00:03
,Reg Prg,010000000,00,9305,Adams County RSSP,Ms. Marcey Wells,1416 Maine St,,Quincy,62301 4261,217228-7175,7-12,099,50,15,A,170016206022,,20240420 05:00:03
,Reg Prg,010000000,00,9306,Academic Behavior&Community Acad,Ms. Marcey Wells,1416 Maine St,,Quincy,62301 4261,217228-7175,7-12,099,50,15,A,170016206156,http://www.qps.org,20240420 05:00:03
,Reg Prg,010000000,00,9308,PACE Alternative School,Brad Tomhave,201 E Higbee St,,Pittsfield,62363 1946,217285-2248,6-12,100,50,15,A,170016206163,http://www.pikeland.net,20240420 05:00:03
,Reg Prg,010000000,00,9309,ARC,Mr. Christopher Marshall,409 Hardin Ave Fl 3,,Jacksonville,62650,217243-8438,6-12,099,50,15,A,170016203208,,20240420 05:00:03
,ROE,030000000,00,0000,Bond/Christian/Effingham/Fayette/Montgomery ROE,Hon. Julie R Wollerman,1500 W Jefferson St,,Vandalia,62471 1510,618283-5011,6-12,110,55,15,1,1700165,http://www.roe3.org,20240420 05:00:03
,Reg Prg,030000000,00,9201,New Approach Alternative High Sch,Ms. Laura Benhoff,1500 W Jefferson St,,Vandalia,62471 1510,618283-9311,9-12,110,55,15,A,170016502272,http://roe3yes.org,20240420 05:00:03
,Reg Prg,030000000,00,9202,Aspire Alternative High School,Ms. Amber Kidd,1901 S 4Th St Ste 215,1901 S 4Th St Ste 215,Effingham,62401 4188,217342-2865,9-12,107,54,12,A,170016505759,http://roe3yes.org,20240420 05:00:03
,Reg Prg,030000000,00,9203,Revive Alternative High School,Ms. Kristin Charlesworth,1100 N Old Route 66,,Litchfield,62056 1092,217408-2185,9-12,108,54,15,A,170016506719,http://roe3yes.org,20240420 05:00:03
,Reg Prg,030000000,00,9301,FOCUS Safe Sch Program,Ms. Laura Benhoff,1500 W Jefferson St,1500 W Jefferson St,Vandalia,62471 1510,618283-9311,6-9,110,55,15,A,170016502287,http://roe3yes.org,20240420 05:00:03
,Reg Prg,030000000,00,9302,Tristar Acad Safe Sch Program,Ms. Amber Kidd,1901 S 4Th St Ste 215,1901 S 4Th St Ste 215,Effingham,62401 4188,217342-2865,6-9,107,54,12,A,170016504627,http://roe3yes.org,20240420 05:00:03
,Reg Prg,030000000,00,9305,Phoenix Safe Schools Program,Ms. Kristin Charlesworth,1100 N Old Route 66,,Litchfield,62056 1092,217408-2185,6-9,108,54,15,A,170016506768,http://roe3yes.org,20240420 05:00:03
,ROE,040000000,00,0000,Boone/Winnebago ROE,Mr. Scott Bloomquist,300 Heart Blvd,,Loves Park,61111 7516,815636-3060,6-12,067,34,17,1,1700166,,20240420 05:00:03
,Reg Prg,040000000,00,9201,Summit Academy TAOEP,Mrs. Meghan Hawkinson,1102 Evans Ave,,Machesney Pk,61115 2967,815636-3060,6-12,067,34,16,A,170016602313,,20240420 05:00:03
,Reg Prg,040000000,00,9301,Summit Academy RSSP,Ms. Nicole Corbett,1102 Evans Ave,,Machesney Pk,61115 2967,779771-6392,6-12,067,34,16,A,170016602338,,20240420 05:00:03
,Reg Prg,040000000,00,9501,Summit Academy ALOP,Ms. Nicole Corbett,1102 Evans Ave,,Machesney Pk,61115 2967,815636-3060,9-12,067,34,16,A,170016605647,,20240420 05:00:03
